iter	Passed	Remaining
0	120	120110
1	127	63443
2	133	44404
3	142	35513
4	147	29361
5	153	25390
6	157	22322
7	160	19882
8	162	17916
9	165	16341
10	168	15159
11	170	14069
12	173	13195
13	175	12393
14	177	11682
15	179	11039
16	181	10500
17	183	9994
18	184	9535
19	186	9116
20	188	8773
21	191	8492
22	193	8201
23	194	7923
24	196	7675
25	198	7450
26	199	7207
27	201	6991
28	202	6791
29	204	6604
30	206	6442
31	207	6286
32	210	6163
33	212	6026
34	213	5891
35	215	5765
36	216	5647
37	218	5533
38	219	5419
39	221	5311
40	223	5216
41	225	5132
42	226	5051
43	228	4972
44	230	4890
45	232	4812
46	233	4734
47	234	4658
48	236	4590
49	238	4524
50	239	4461
51	241	4395
52	242	4339
53	244	4289
54	247	4249
55	248	4193
56	250	4139
57	251	4090
58	253	4043
59	254	3993
60	256	3943
61	257	3897
62	258	3851
63	260	3808
64	262	3770
65	264	3743
66	266	3706
67	267	3667
68	269	3631
69	271	3600
70	272	3567
71	273	3531
72	275	3497
73	276	3463
74	278	3430
75	280	3404
76	281	3378
77	284	3363
78	286	3336
79	287	3307
80	289	3280
81	290	3257
82	292	3229
83	293	3202
84	295	3178
85	296	3151
86	298	3127
87	299	3105
88	301	3089
89	303	3069
90	305	3047
91	306	3024
92	307	3003
93	309	2984
94	311	2963
95	312	2941
96	313	2919
97	314	2899
98	316	2878
99	318	2865
100	320	2855
101	322	2839
102	324	2821
103	325	2803
104	326	2786
105	328	2773
106	330	2757
107	331	2740
108	333	2722
109	334	2705
110	335	2688
111	337	2677
112	339	2667
113	341	2654
114	343	2640
115	344	2625
116	346	2612
117	347	2599
118	348	2583
119	350	2569
120	351	2556
121	353	2542
122	354	2528
123	356	2518
124	358	2508
125	360	2498
126	361	2485
127	363	2473
128	365	2464
129	366	2452
130	367	2439
131	369	2427
132	370	2414
133	371	2403
134	373	2390
135	375	2382
136	377	2377
137	379	2368
138	380	2358
139	382	2347
140	383	2337
141	385	2327
142	386	2317
143	388	2307
144	389	2296
145	390	2286
146	392	2279
147	394	2271
148	396	2265
149	398	2257
150	399	2247
151	401	2238
152	403	2231
153	404	2222
154	405	2212
155	407	2203
156	408	2193
157	409	2184
158	411	2178
159	413	2170
160	415	2165
161	417	2158
162	418	2150
163	420	2142
164	421	2134
165	423	2126
166	424	2118
167	425	2109
168	427	2101
169	428	2092
170	429	2084
171	432	2080
172	434	2077
173	436	2071
174	437	2063
175	439	2056
176	440	2049
177	442	2042
178	443	2034
179	444	2026
180	446	2019
181	447	2012
182	449	2004
183	450	1999
184	452	1995
185	454	1990
186	456	1984
187	457	1978
188	459	1971
189	461	1965
190	462	1958
191	463	1951
192	465	1945
193	466	1937
194	468	1932
195	469	1927
196	472	1924
197	473	1918
198	475	1912
199	476	1906
200	478	1901
201	479	1895
202	481	1889
203	482	1882
204	483	1876
205	485	1870
206	487	1865
207	488	1861
208	490	1857
209	492	1853
210	494	1847
211	495	1842
212	497	1837
213	498	1832
214	500	1826
215	501	1821
216	503	1816
217	505	1814
218	507	1810
219	509	1806
220	511	1803
221	512	1797
222	514	1792
223	516	1787
224	517	1784
225	519	1780
226	521	1775
227	523	1771
228	526	1772
229	528	1769
230	530	1765
231	532	1761
232	534	1758
233	536	1754
234	537	1750
235	539	1746
236	541	1742
237	543	1738
238	547	1741
239	549	1740
240	551	1737
241	553	1734
242	555	1729
243	556	1725
244	558	1720
245	560	1717
246	561	1713
247	564	1710
248	566	1707
249	567	1703
250	569	1699
251	570	1694
252	572	1690
253	573	1685
254	575	1680
255	576	1675
256	578	1671
257	579	1667
258	581	1662
259	583	1659
260	584	1655
261	586	1653
262	588	1648
263	589	1643
264	591	1639
265	592	1634
266	594	1631
267	595	1626
268	596	1622
269	598	1618
270	599	1613
271	601	1610
272	603	1606
273	605	1604
274	606	1600
275	608	1596
276	609	1592
277	611	1587
278	612	1583
279	614	1579
280	615	1575
281	617	1571
282	618	1567
283	620	1563
284	622	1562
285	624	1558
286	625	1554
287	627	1550
288	628	1546
289	630	1542
290	631	1538
291	632	1534
292	634	1530
293	635	1526
294	636	1522
295	638	1518
296	640	1515
297	642	1512
298	643	1508
299	644	1504
300	646	1501
301	647	1497
302	649	1493
303	650	1489
304	651	1484
305	652	1480
306	654	1476
307	655	1472
308	656	1468
309	658	1465
310	660	1462
311	661	1459
312	662	1455
313	664	1450
314	665	1446
315	666	1443
316	668	1439
317	669	1435
318	670	1431
319	671	1427
320	673	1423
321	674	1420
322	675	1416
323	677	1413
324	679	1411
325	681	1408
326	682	1405
327	683	1401
328	685	1397
329	686	1393
330	687	1390
331	689	1386
332	690	1382
333	691	1378
334	692	1375
335	693	1371
336	695	1368
337	697	1366
338	698	1362
339	700	1359
340	701	1355
341	702	1352
342	704	1349
343	705	1345
344	707	1342
345	708	1339
346	710	1336
347	711	1332
348	712	1328
349	713	1325
350	715	1323
351	717	1320
352	718	1316
353	719	1313
354	720	1309
355	722	1306
356	723	1302
357	724	1299
358	726	1296
359	727	1293
360	728	1290
361	730	1287
362	731	1283
363	732	1280
364	735	1278
365	736	1276
366	738	1273
367	739	1269
368	740	1266
369	742	1264
370	743	1261
371	745	1257
372	746	1255
373	747	1251
374	749	1248
375	750	1245
376	751	1242
377	754	1240
378	755	1237
379	757	1235
380	758	1232
381	759	1229
382	761	1226
383	762	1222
384	763	1219
385	765	1217
386	766	1214
387	767	1211
388	769	1208
389	770	1205
390	772	1203
391	774	1200
392	775	1198
393	777	1195
394	778	1192
395	780	1189
396	781	1187
397	783	1184
398	784	1181
399	786	1179
400	787	1176
401	788	1173
402	789	1170
403	792	1168
404	794	1166
405	795	1164
406	797	1161
407	798	1158
408	800	1156
409	801	1153
410	803	1150
411	804	1148
412	805	1145
413	807	1142
414	808	1139
415	810	1137
416	812	1135
417	813	1133
418	815	1130
419	816	1127
420	817	1124
421	819	1122
422	820	1119
423	822	1116
424	823	1114
425	825	1111
426	826	1108
427	827	1106
428	830	1105
429	832	1102
430	833	1100
431	834	1097
432	836	1094
433	837	1092
434	839	1090
435	840	1087
436	842	1084
437	843	1082
438	844	1079
439	846	1076
440	848	1074
441	850	1073
442	852	1071
443	854	1069
444	855	1067
445	857	1065
446	858	1062
447	860	1060
448	862	1057
449	863	1055
450	864	1052
451	866	1050
452	868	1049
453	871	1047
454	872	1045
455	873	1042
456	875	1039
457	876	1037
458	878	1035
459	880	1033
460	881	1030
461	883	1028
462	884	1026
463	888	1026
464	892	1026
465	894	1024
466	896	1023
467	898	1020
468	899	1018
469	901	1016
470	903	1015
471	908	1015
472	911	1015
473	914	1015
474	918	1014
475	921	1014
476	923	1012
477	927	1012
478	930	1011
479	932	1010
480	935	1009
481	938	1008
482	940	1006
483	941	1004
484	944	1002
485	946	1000
486	948	998
487	949	996
488	951	994
489	953	992
490	955	990
491	956	987
492	958	985
493	959	983
494	961	981
495	963	979
496	965	977
497	967	975
498	969	972
499	970	970
500	972	968
501	974	966
502	976	964
503	977	962
504	979	959
505	981	957
506	983	956
507	985	954
508	986	951
509	988	949
510	990	947
511	992	945
512	993	943
513	995	940
514	996	938
515	998	936
516	1000	935
517	1002	933
518	1004	930
519	1006	928
520	1008	926
521	1009	924
522	1011	922
523	1013	920
524	1014	918
525	1016	915
526	1017	913
527	1020	912
528	1022	910
529	1024	908
530	1027	907
531	1029	905
532	1030	903
533	1032	901
534	1034	899
535	1036	897
536	1038	895
537	1040	893
538	1041	891
539	1043	888
540	1044	886
541	1046	884
542	1048	882
543	1049	879
544	1051	877
545	1052	875
546	1054	873
547	1055	870
548	1058	869
549	1060	867
550	1061	865
551	1063	863
552	1065	861
553	1067	859
554	1068	856
555	1070	854
556	1071	852
557	1073	849
558	1074	847
559	1076	845
560	1078	844
561	1080	842
562	1082	839
563	1083	837
564	1084	835
565	1086	832
566	1087	830
567	1089	828
568	1090	826
569	1092	823
570	1093	821
571	1096	820
572	1097	818
573	1099	815
574	1100	813
575	1102	811
576	1103	809
577	1105	806
578	1106	804
579	1108	802
580	1109	800
581	1110	797
582	1112	795
583	1114	793
584	1116	791
585	1117	789
586	1119	787
587	1120	785
588	1122	783
589	1123	780
590	1124	778
591	1126	776
592	1128	774
593	1129	772
594	1130	769
595	1133	768
596	1135	766
597	1136	764
598	1138	762
599	1139	759
600	1141	757
601	1143	755
602	1144	753
603	1146	751
604	1147	749
605	1149	747
606	1150	744
607	1152	743
608	1154	741
609	1156	739
610	1157	736
611	1158	734
612	1160	732
613	1162	730
614	1163	728
615	1165	726
616	1166	724
617	1168	722
618	1169	719
619	1171	718
620	1173	716
621	1175	714
622	1176	711
623	1177	709
624	1179	707
625	1181	705
626	1182	703
627	1183	701
628	1185	698
629	1186	696
630	1187	694
631	1189	692
632	1191	690
633	1193	688
634	1194	686
635	1196	684
636	1197	682
637	1199	680
638	1200	678
639	1202	676
640	1204	674
641	1205	672
642	1207	670
643	1211	669
644	1213	667
645	1215	666
646	1217	664
647	1218	661
648	1220	659
649	1221	657
650	1223	655
651	1225	653
652	1226	651
653	1229	650
654	1231	648
655	1233	646
656	1235	644
657	1236	642
658	1238	640
659	1239	638
660	1241	636
661	1242	634
662	1244	632
663	1246	630
664	1248	629
665	1251	627
666	1252	625
667	1254	623
668	1255	621
669	1257	619
670	1258	617
671	1260	615
672	1261	613
673	1263	611
674	1266	609
675	1268	608
676	1270	606
677	1272	604
678	1274	602
679	1276	600
680	1277	598
681	1279	596
682	1280	594
683	1282	592
684	1283	590
685	1285	588
686	1287	586
687	1289	584
688	1290	582
689	1291	580
690	1293	578
691	1295	576
692	1297	574
693	1298	572
694	1300	570
695	1302	568
696	1305	567
697	1307	565
698	1309	563
699	1311	562
700	1313	560
701	1315	558
702	1317	556
703	1319	554
704	1321	552
705	1324	551
706	1327	549
707	1328	548
708	1330	546
709	1332	544
710	1334	542
711	1336	540
712	1338	538
713	1340	536
714	1343	535
715	1345	533
716	1347	531
717	1349	529
718	1352	528
719	1353	526
720	1355	524
721	1357	522
722	1359	520
723	1362	519
724	1365	517
725	1366	515
726	1368	513
727	1369	511
728	1372	510
729	1374	508
730	1375	506
731	1378	504
732	1380	502
733	1383	501
734	1385	499
735	1387	497
736	1389	495
737	1393	494
738	1396	493
739	1400	492
740	1403	490
741	1405	488
742	1406	486
743	1408	484
744	1412	483
745	1414	481
746	1420	481
747	1423	479
748	1425	477
749	1429	476
750	1433	475
751	1441	475
752	1445	474
753	1449	472
754	1452	471
755	1454	469
756	1457	467
757	1461	466
758	1464	464
759	1466	463
760	1468	461
761	1471	459
762	1473	457
763	1474	455
764	1477	453
765	1479	451
766	1481	450
767	1483	448
768	1484	446
769	1486	444
770	1488	442
771	1489	440
772	1491	437
773	1492	435
774	1494	433
775	1495	431
776	1498	430
777	1500	428
778	1501	426
779	1503	424
780	1505	422
781	1506	420
782	1508	417
783	1509	415
784	1511	413
785	1512	411
786	1514	409
787	1517	408
788	1518	406
789	1520	404
790	1521	402
791	1523	400
792	1525	398
793	1526	396
794	1528	394
795	1529	392
796	1531	390
797	1534	388
798	1536	386
799	1540	385
800	1544	383
801	1547	382
802	1549	380
803	1551	378
804	1553	376
805	1555	374
806	1558	372
807	1560	370
808	1562	368
809	1564	367
810	1566	365
811	1568	363
812	1569	361
813	1571	359
814	1573	357
815	1576	355
816	1577	353
817	1579	351
818	1580	349
819	1583	347
820	1584	345
821	1586	343
822	1587	341
823	1589	339
824	1591	337
825	1593	335
826	1595	333
827	1596	331
828	1598	329
829	1599	327
830	1601	325
831	1603	323
832	1604	321
833	1606	319
834	1607	317
835	1608	315
836	1610	313
837	1612	311
838	1614	309
839	1615	307
840	1617	305
841	1618	303
842	1620	301
843	1622	299
844	1623	297
845	1624	295
846	1626	293
847	1627	291
848	1629	289
849	1631	287
850	1633	285
851	1634	283
852	1635	281
853	1637	279
854	1638	277
855	1640	275
856	1641	273
857	1643	271
858	1644	269
859	1645	267
860	1647	265
861	1649	264
862	1650	262
863	1652	260
864	1654	258
865	1655	256
866	1656	254
867	1658	252
868	1659	250
869	1661	248
870	1662	246
871	1664	244
872	1665	242
873	1667	240
874	1669	238
875	1671	236
876	1672	234
877	1673	232
878	1675	230
879	1677	228
880	1678	226
881	1679	224
882	1681	222
883	1683	220
884	1684	218
885	1686	217
886	1689	215
887	1691	213
888	1693	211
889	1694	209
890	1696	207
891	1697	205
892	1699	203
893	1700	201
894	1702	199
895	1703	197
896	1705	195
897	1707	193
898	1709	192
899	1711	190
900	1712	188
901	1714	186
902	1715	184
903	1717	182
904	1718	180
905	1720	178
906	1721	176
907	1722	174
908	1725	172
909	1726	170
910	1728	168
911	1730	166
912	1731	165
913	1732	163
914	1734	161
915	1736	159
916	1737	157
917	1738	155
918	1740	153
919	1741	151
920	1744	149
921	1745	147
922	1747	145
923	1748	143
924	1750	141
925	1752	140
926	1753	138
927	1755	136
928	1756	134
929	1758	132
930	1759	130
931	1760	128
932	1762	126
933	1764	124
934	1766	122
935	1768	120
936	1769	118
937	1771	117
938	1773	115
939	1774	113
940	1776	111
941	1777	109
942	1779	107
943	1780	105
944	1782	103
945	1784	101
946	1786	99
947	1787	98
948	1789	96
949	1791	94
950	1792	92
951	1794	90
952	1795	88
953	1797	86
954	1798	84
955	1800	82
956	1802	80
957	1804	79
958	1805	77
959	1807	75
960	1808	73
961	1810	71
962	1812	69
963	1813	67
964	1815	65
965	1817	63
966	1818	62
967	1820	60
968	1822	58
